_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
6323c96190677ffc5ee62bed||95.6|93.87|107.6|81.68|478,19,3,2|time|60|-1|0|60|0|0|false|false|english|none|normal|false|false|false||1663289697000
6323c91690677ffc5ee629fb||89.2|89.41|105.6|78.63|446,35,5,3|time|60|-1|2|60|0|22.46|false|false|english|none|normal|false|false|false||1663289622000
6323c86f90677ffc5ee625ed||91.6|94.16|102.8|79.08|458,18,3,3|time|60|-1|2|60|0|3.87|false|false|english|none|normal|false|false|false||1663289455000
6323c82b90677ffc5ee6244b||85.37|89|103.57|80.28|427,36,3,5|time|60|-1|0|60.02|0|0|false|false|english|none|normal|false|false|false||1663289387000
6323c7cd90677ffc5ee621df||91.38|93.45|103.78|80.68|457,20,2,4|time|60|-1|1|60.01|0|1.9|false|false|english|none|normal|false|false|false||1663289293000
6323c77790677ffc5ee61fcd||88.77|91.7|103.57|76.65|444,30,1,2|time|60|-1|1|60.02|0|12.21|false|false|english|none|normal|false|false|false||1663289207000
6323c72790677ffc5ee61de6||92.6|96.09|102.4|81.17|463,10,2,1|time|60|-1|1|60|0|7.02|false|false|english|none|normal|false|false|false||1663289127000
632320a890677ffc5e1448d1||72.99|89.39|92.38|79.29|365,29,2,11|time|60|-1|6|60.01|0|92.31|false|false|english|none|normal|false|false|false||1663246504000
6323200590677ffc5e14426a||84.39|94.06|97.58|77.5|422,14,4,4|time|60|-1|6|60.01|0|16.37|false|false|english|none|normal|false|false|false||1663246341000
63231fa890677ffc5e143ee9||78.79|88.5|97.38|75.25|394,37,1,8|time|60|-1|4|60.01|0|43.15|false|false|english|none|normal|false|false|false||1663246248000
63231f3c90677ffc5e143ad8||81.59|90.82|97.78|78.42|408,27,2,4|time|60|-1|1|60.01|0|5.26|false|false|english|none|normal|false|false|false||1663246140000
63231ef890677ffc5e14383a||81.4|90.73|99.2|79.06|407,26,3,2|time|60|-1|0|60|0|0|false|false|english|none|normal|false|false|false||1663246072000
63231eb690677ffc5e1435a2||82.57|91.04|98.17|75.92|413,28,2,2|time|60|-1|2|60.02|0|17.44|false|false|english|none|normal|false|false|false||1663246006000
63231e6390677ffc5e14327c||81.4|90.47|98.6|77.22|407,28,2,2|time|60|-1|3|60|0|27.4|false|false|english|none|normal|false|false|false||1663245923000
63231e0790677ffc5e0ff314||90.78|92.75|104.78|79.85|454,21,6,1|time|60|-1|1|60.01|0|10.97|false|false|english|none|normal|false|false|false||1663245831000
63231db690677ffc5e0ff00e||97.98|92.65|108.78|78.89|490,26,6,1|time|60|-1|3|60.01|0|22.27|false|false|english|none|normal|false|false|false||1663245750000
6322dbda90677ffc5ec1db62||71.79|86.05|93.18|77.16|359,40,7,4|time|60|-1|7|60.01|0|202.03|false|false|english|none|normal|false|false|false||1663228890000
6322daa990677ffc5ebd98a0||85.99|93.78|99.58|78.41|430,17,2,3|time|60|-1|1|60.01|0|57.94|false|false|english|none|normal|false|false|false||1663228585000
6322d9fd90677ffc5ebd9455||85.4|91.78|99.8|76.31|427,26,3,4|time|60|-1|4|60|0|57.89|false|false|english|none|normal|false|false|false||1663228413000
6322d96490677ffc5ebd9086||85.19|91.94|101.58|76.77|426,24,2,3|time|60|-1|0|60.01|0|0|false|false|english|none|normal|false|false|false||1663228260000
6322d90e90677ffc5ebd8e5f||85.19|89.35|101.38|81.87|426,34,6,5|time|60|-1|0|60.01|0|0|false|false|english|none|normal|false|false|false||1663228174000
6322d8d190677ffc5ebd8cb9||88.59|90.53|105.58|80.56|443,33,2,3|time|60|-1|0|60.01|0|0|false|false|english|none|normal|false|false|false||1663228113000
6322d86590677ffc5ebd8a1a||85.4|92.96|99.4|75.15|427,21,2,2|time|60|-1|0|60|0|0|false|false|english|none|normal|false|false|false||1663228005000
6322d82890677ffc5ebd88a3||84.4|92.68|98.4|78.32|422,19,3,3|time|60|-1|0|60|0|0|false|false|english|none|normal|false|false|false||1663227944000
6321c55a90677ffc5e66099f||79.59|90.91|94.58|78.89|398,27,2,5|time|60|-1|3|60.01|0|66.97|false|false|english|none|normal|false|false|false||1663157594000
6321c4d190677ffc5e660486||82.6|94.21|93.2|75.76|413,12,4,2|time|60|-1|2|60|0|2.63|false|false|english|none|normal|false|false|false||1663157457000
6321c47c90677ffc5e66016e||76.39|87.97|96.38|78.21|382,33,8,2|time|60|-1|2|60.01|0|65.88|false|false|english|none|normal|false|false|false||1663157372000
6321c3ba90677ffc5e65fa4a||89|93.54|102.2|78.4|445,18,2,5|time|60|-1|1|60|0|1.76|false|false|english|none|normal|false|false|false||1663157178000
6321c36490677ffc5e65f71d||78.8|87.84|102|80.14|394,37,4,7|time|60|-1|1|60|0|28.1|false|false|english|none|normal|false|false|false||1663157092000
6321c2e990677ffc5e65f2e5||85.99|90.57|101.78|80.81|430,31,3,3|time|60|-1|0|60.01|0|0|false|false|english|none|normal|false|false|false||1663156969000
6321c2ad90677ffc5e65f0f5||87.99|91.86|103.18|81.35|440,26,3,6|time|60|-1|1|60.01|0|9.97|false|false|english|none|normal|false|false|false||1663156909000
6321c24c90677ffc5e65edd6||88.79|92.55|101.98|79.79|444,21,3,8|time|60|-1|1|60.01|0|27.97|false|false|english|none|normal|false|false|false||1663156812000
6321c1ed90677ffc5e61b196||92.78|94.36|102.78|82.12|464,17,2,2|time|60|-1|1|60.01|0|0.03|false|false|english|none|normal|false|false|false||1663156717000
6321c04e90677ffc5e61a40b||86.99|94.04|100.58|81.51|435,11,8,0|time|60|-1|0|60.01|0|0|false|false|english|none|normal|false|false|false||1663156302000
6320a9bc90677ffc5e0bb9d2||69.19|90.05|84.39|74.7|346,27,2,5|time|60|-1|3|60.01|0|74.76|false|false|english|none|normal|false|false|false||1663084988000
6320a92d90677ffc5e0bb2ff||71.6|93.6|84.4|72.05|358,15,1,6|time|60|-1|6|60|0|25.05|false|false|english|none|normal|false|false|false||1663084845000
6320a8c990677ffc5e0776dd||70.8|86.68|91.6|75.26|354,41,1,6|time|60|-1|15|60|0|218.92|false|false|english|none|normal|false|false|false||1663084745000
6320a79990677ffc5e076752||75.4|94.24|86.8|70.1|377,15,0,3|time|60|-1|7|60|0|68.3|false|false|english|none|normal|false|false|false||1663084441000
6320a6d190677ffc5e075ced||79.2|91.74|89.6|75.61|396,21,5,2|time|60|-1|0|60|0|0|false|false|english|none|normal|false|false|false||1663084241000
6320a65390677ffc5e075699||81.6|94.06|94.2|73.3|408,16,1,1|time|60|-1|3|60|0|7.44|false|false|english|none|normal|false|false|false||1663084115000
6320a5f090677ffc5e0751bd||77.6|91.2|93.2|74.97|388,26,2,1|time|60|-1|1|60|0|41.69|false|false|english|none|normal|false|false|false||1663084016000
6320a58090677ffc5e074bc9||78.6|91.01|93.4|75.61|393,24,3,3|time|60|-1|1|60|0|1.99|false|false|english|none|normal|false|false|false||1663083904000
6320a52490677ffc5e031009||84.19|92.19|94.78|78.48|421,23,2,3|time|60|-1|3|60.01|0|29.61|false|false|english|none|normal|false|false|false||1663083812000
